"","x"
"1",168816
"2",231613
"3",209272
"4",174334
"5",170227
"6",221672
"7",213316
"8",209516
"9",249146
"10",221445
"11",231854
"12",224646
"13",901
"14",174092
"15",173018
"16",246678
"17",229742
"18",246528
"19",1485
"20",246156
"21",238231
"22",243930
"23",229244
"24",244993
"25",227447
"26",238120
"27",243929
"28",223787
"29",242106
"30",231210
"31",235105
"32",229741
"33",248718
"34",243996
"35",225186
"36",242361
"37",3145
"38",242824
"39",245963
"40",211426
"41",245827
"42",228021
"43",233917
"44",251844
"45",245976
"46",278418
"47",238065
"48",245750
"49",173291
"50",218121
"51",236283
"52",243294
"53",239584
"54",233445
"55",169781
"56",2313
"57",245649
"58",174509
"59",171118
"60",216724
"61",217121
"62",210706
"63",238961
"64",173415
"65",222050
"66",235543
"67",237748
"68",236172
"69",2288
"70",278194
"71",249894
"72",166327
"73",234623
"74",236940
"75",224764
"76",243328
"77",277623
"78",171602
"79",243077
"80",218404
"81",234597
"82",172030
"83",235498
"84",213638
"85",214631
"86",277427
"87",3154
"88",226393
"89",165582
"90",174615
"91",238607
"92",239449
"93",216202
"94",174304
"95",174216
"96",276925
"97",228998
"98",225078
"99",244277
"100",235842
"101",252268
"102",170518
"103",250962
"104",211344
"105",251097
"106",238613
"107",3363
"108",250405
"109",230249
"110",248221
"111",213760
"112",175117
"113",247918
"114",236399
"115",225763
"116",243720
"117",176667
"118",238557
"119",242006
"120",228764
"121",177690
"122",226545
"123",176214
"124",249361
"125",175003
"126",2132
"127",244685
"128",178229
"129",240470
"130",226489
"131",249058
"132",1596
"133",278137
"134",232131
"135",174140
"136",225810
"137",4017
"138",254
"139",246311
"140",224923
"141",223154
"142",178056
"143",224349
"144",220586
"145",235935
"146",248752
"147",3728
"148",220240
"149",216155
"150",214786
"151",244171
"152",249150
"153",242299
"154",217318
"155",229140
"156",229011
"157",213523
"158",249723
"159",217375
"160",244688
"161",210874
"162",223438
"163",228868
"164",219546
"165",209756
"166",232583
"167",219301
"168",247447
"169",170634
"170",172512
"171",2907
"172",209817
"173",3142
"174",212965
"175",278554
"176",251422
"177",173509
"178",220278
"179",246507
"180",167800
"181",233711
"182",276822
"183",249407
"184",231337
"185",168954
"186",244814
"187",224430
"188",167614
"189",231237
"190",218608
"191",251495
"192",214230
"193",238849
"194",167375
"195",222353
"196",277965
"197",388
"198",224626
"199",169310
"200",178322
"201",236340
"202",277928
"203",232211
"204",171970
"205",178181
"206",222035
"207",171445
"208",240219
"209",278843
"210",226772
"211",225313
"212",232990
"213",249695
"214",209631
"215",210420
"216",173343
"217",212142
"218",237486
"219",245925
"220",210077
"221",240035
"222",177458
"223",238541
"224",233392
"225",249353
"226",212898
"227",166596
"228",2295
"229",249140
"230",173684
"231",218068
"232",239626
"233",215627
"234",211351
"235",212923
"236",243360
"237",236757
"238",234734
"239",1674
"240",245311
"241",251613
"242",220564
"243",238057
"244",383
"245",248570
"246",222614
"247",2891
"248",211847
"249",232320
"250",178201
"251",237429
"252",219593
"253",172061
"254",248477
"255",240789
"256",210738
"257",221238
"258",2030
"259",1297
"260",168985
"261",3923
"262",246000
"263",214651
"264",248464
"265",209477
"266",230105
"267",250184
"268",843
"269",175329
"270",174326
"271",212640
"272",218552
"273",230522
"274",170499
"275",238781
"276",210317
"277",225435
"278",240144
"279",245371
"280",209174
"281",171088
"282",242637
"283",210816
"284",211919
"285",216679
"286",244736
"287",237474
"288",229703
"289",176903
"290",221698
"291",238639
"292",242309
"293",212260
"294",2033
"295",218875
"296",805
"297",210627
"298",213312
"299",225634
"300",215986
"301",171968
"302",165788
"303",230496
"304",167844
"305",234672
"306",167722
"307",237914
"308",217811
"309",3814
"310",246036
"311",216444
"312",1903
"313",236058
"314",4157
"315",241239
"316",228789
"317",211430
"318",173679
"319",247829
"320",167761
"321",226745
"322",222296
"323",2766
"324",218568
"325",240370
"326",218276
"327",234828
"328",212109
"329",223087
"330",2179
"331",213494
"332",235429
"333",246798
"334",236587
"335",223607
"336",507
"337",178199
"338",178534
"339",172742
"340",243065
"341",4334
"342",2977
"343",171818
"344",228206
"345",210959
"346",245410
"347",227467
"348",174625
"349",227295
"350",882
"351",248373
"352",175536
"353",223784
"354",231857
"355",174914
"356",225002
"357",173464
"358",231263
"359",233427
"360",244627
"361",211041
"362",169699
"363",225939
"364",170379
"365",224159
"366",225087
"367",227275
"368",229064
"369",168615
"370",235506
"371",238779
"372",177090
"373",2719
"374",3569
"375",247010
"376",211231
"377",173481
"378",236267
"379",249628
"380",243563
"381",215298
"382",235117
"383",177091
"384",233578
"385",221948
"386",227025
"387",277195
"388",240267
"389",228108
"390",236164
"391",252071
"392",215136
"393",236480
"394",252347
"395",2110
"396",226553
"397",172128
"398",238699
"399",239423
"400",245645
"401",228681
"402",216012
"403",242409
"404",226429
"405",223501
"406",170155
"407",224308
"408",223454
"409",210685
"410",249210
"411",247423
"412",249746
"413",229313
"414",246634
"415",276670
"416",239594
"417",173357
"418",228311
"419",277915
"420",245352
"421",213126
"422",251149
"423",776
"424",235282
"425",246513
"426",216745
"427",240403
"428",227702
"429",225686
"430",232199
"431",216466
"432",241791
"433",226006
"434",278026
"435",166492
"436",232099
"437",227520
"438",167517
"439",1424
"440",177432
"441",276681
"442",3471
