"","u","i","t","p"
"1",168816,"000649840X","Angelas Ashes",3
"2",231613,"0006550789","253",4
"3",209272,"0007154615","Unless : A Novel",5
"4",174334,"002026478X","AGE OF INNOCENCE (MOVIE TIE-IN)",6
"5",170227,"0020442408","Prince Caspian",6
"6",221672,"0020442602","Voyage of the Dawn Treader",7
"7",213316,"0020449313","The Yearling (Scribner Classics)",8
"8",209516,"0020532105","CRY THE BELOVED COUNTRY (Scribner Classic)",9
"9",249146,"002089130X","On Death &amp; Dying",10
"10",221445,"002542730X","Politically Correct Bedtime Stories: Modern Tales for Our Life and Times"
"11",231854,"0060001453","Love With the Proper Husband (Avon Historical Romance)"
"12",224646,"0060002050","On a Wicked Dawn (Cynster Novels)"
"13",901,"0060002069","The Lady Chosen"
"14",174092,"0060002492","Amazonia"
"15",173018,"006000438X","The Death of Vishnu: A Novel"
"16",246678,"0060008776","Pagan Babies"
"17",229742,"0060009241","See Jane Score (Avon Romance)"
"18",246528,"0060090367","Watermelon"
"19",1485,"0060092645","My Favorite Bride"
"20",246156,"0060092963","Adventures of a Scottish Heiress"
"21",238231,"0060096195","The Boy Next Door"
"22",243930,"0060168013","Pigs in Heaven"
"23",229244,"0060173289","Divine Secrets of the Ya-Ya Sisterhood : A Novel"
"24",244993,"0060175400","The Poisonwood Bible"
"25",227447,"0060175532","Young Wives"
"26",238120,"0060175966","The Professor and the Madman"
"27",243929,"0060187271","The Last Report on the Miracles at Little No Horse"
"28",223787,"0060188731","Bel Canto"
"29",242106,"0060191988","A Night Without Armor : Poems"
"30",231210,"0060192119","As Nature Made Him: The Boy Who Was Raised As a Girl"
"31",235105,"006019491X","Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover))"
"32",229741,"0060198133","Five Quarters of the Orange"
"33",248718,"0060199652","Prodigal Summer"
"34",243996,"0060248025","Falling Up"
"35",225186,"0060256672","Where the Sidewalk Ends : Poems and Drawings"
"36",242361,"0060256737","A Light in the Attic"
"37",3145,"0060391448","Wicked : The Life and Times of the Wicked Witch of the West"
"38",242824,"0060392452","Stupid White Men ...and Other Sorry Excuses for the State of the Nation!"
"39",245963,"0060392827","Confessions of an Ugly Stepsister"
"40",211426,"0060502258","The Divine Secrets of the Ya-Ya Sisterhood: A Novel"
"41",245827,"0060502312","Breaking All the Rules (Avon Light Contemporary Romances)"
"42",228021,"0060506989","We Were Soldiers Once... and Young: Ia Drang--The Battle That Changed the War in Vietnam"
"43",233917,"0060508302","Angels Everywhere: A Season of Angels/Touched by Angels (Avon Romance)"
"44",251844,"0060509392","Mrs. Kimble : A Novel"
"45",245976,"0060512806","Cryptonomicon"
"46",278418,"0060517611","The Lady in Question"
"47",238065,"0060517794","Little Altars Everywhere"
"48",245750,"0060529709","Everything Is Illuminated : A Novel"
"49",173291,"0060532149","Bare Necessity"
"50",218121,"0060560754","The Dim Sum of All Things"
"51",236283,"0060572965","Dead Witch Walking"
"52",243294,"0060730552","Touching the Void: The True Story of One Man's Miraculous Survival"
"53",239584,"0060809833","Brave New World"
"54",233445,"0060830476","Giants in the Earth: A Saga of the Prairie"
"55",169781,"0060913509","In Country RI"
"56",2313,"0060914653","The Unbearable Lightness of Being"
"57",245649,"0060915544","The Bean Trees"
"58",174509,"0060916508","Their Eyes Were Watching God: A Novel"
"59",171118,"0060917016","Homeland and Other Stories"
"60",216724,"0060922249","Care of the Soul : A Guide for Cultivating Depth and Sacredness in Everyday Life"
"61",217121,"0060922532","Sweet Hereafter Movie Tie-In : A Novel"
"62",210706,"0060923245","She Flew the Coop : A Novel Concerning Life, Death, Sex and Recipes in Limoges, Louisiana"
"63",238961,"0060926201","Mutant Message Down Under"
"64",173415,"0060926317","Divine Secrets of the Ya-Ya Sisterhood: A Novel"
"65",222050,"0060928336","As Nature Made Him : The Boy Who Was Raised as a Girl"
"66",235543,"0060929596","One Hundred Years of Solitude"
"67",237748,"0060929790","A Tree Grows in Brooklyn"
"68",236172,"006092988X","The Bell Jar : A Novel (Perennial Classics)"
"69",2288,"0060930187","The Poisonwood Bible: A Novel"
"70",278194,"0060930535","Daughter of Fortune"
"71",249894,"0060932759","Bel Canto: A Novel"
"72",166327,"0060934417","Smoke and Mirrors: Short Fictions and Illusions"
"73",234623,"0060934700","stardust"
"74",236940,"0060934719","Portrait in Sepia : A Novel"
"75",224764,"0060936363","Fast Food Nation: The Dark Side of the All-American Meal"
"76",243328,"0060938455","Veronika Decides to Die"
"77",277623,"0060955775","More Than You Know: A Novel"
"78",171602,"0060958022","Tales of the City (Tales of the City Series, V. 1)"
"79",243077,"0060959355","The Man Who Mistook His Wife for a Hat: And Other Clinical Tales"
"80",218404,"0060964049","The Mysteries of Pittsburgh"
"81",234597,"0060970790","Tracks RI"
"82",172030,"0060972122","This Boy's Life: A Memoir"
"83",235498,"0060972459","The Mambo Kings Play Songs of Love"
"84",213638,"0060972777","Lakota Woman"
"85",214631,"0060973277","Love Medicine"
"86",277427,"0060973897","Ten Stupid Things Women Do to Mess Up Their Lives"
"87",3154,"0060975547","Thank You for Smoking"
"88",226393,"0060976497","Little Altars Everywhere: A Novel"
"89",165582,"0060976624","Downsize This! Random Threats from an Unarmed American"
"90",174615,"0060976845","The Perfect Storm : A True Story of Men Against the Sea"
"91",238607,"0060977337","The God of Small Things"
"92",239449,"0060977477","Crazy Ladies : A Novel"
"93",216202,"0060977493","Mariette in Ecstasy"
"94",174304,"0060977744","Microserfs"
"95",174216,"0060981180","Wicked: The Life and Times of the Wicked Witch of the West"
"96",276925,"0060987049","Confessions of an Ugly Stepsister : A Novel"
"97",228998,"0060987103","I Know This Much Is True"
"98",225078,"0060987529","The Professor and the Madman: A Tale of Murder, Insanity, and the Making of The Oxford English Dictionary"
"99",244277,"0060987561","A Thief of Time (Joe Leaphorn/Jim Chee Novels)"
"100",235842,"006099486X","Skinwalkers (Joe Leaphorn/Jim Chee Novels)"
"101",252268,"0061000043","The Fly on the Wall"
"102",170518,"0061000175","Fatherland"
"103",250962,"0061000280","One for the Money (Stephanie Plum Novels (Paperback))"
"104",211344,"0061006629","Moment to Moment"
"105",251097,"0061009059","A Secret Affair"
"106",238613,"0061010995","Rising Phoenix"
"107",3363,"0061012289","The Run"
"108",250405,"0061012491","Prey"
"109",230249,"0061013439","The Fifth Elephant: A Novel of Discworld"
"110",248221,"006101351X","Equal Rites (Discworld Novels (Paperback))"
"111",213760,"0061015725","The Color of Magic"
"112",175117,"0061020400","Blind Man's Bluff: The Untold Story of American Submarine Espionage"
"113",247918,"0061020699","Wild Justice"
"114",236399,"0061020710","The Associate"
"115",225763,"006103004X","U.S.S. Seawolf"
"116",243720,"0061030635","The Vendetta Defense"
"117",176667,"0061030643","Flight Lessons"
"118",238557,"0061030651","The Promise in a Kiss"
"119",242006,"0061031429","Breathing Room (Avon Romance)"
"120",228764,"0061031445","Suddenly"
"121",177690,"0061031755","Final Appeal"
