"","isbn","year","isbndb","subject"
"1","0399135782",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0399135782",NA
"2","0440234743",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0440234743","Fiction"
"3","0452264464",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0452264464","Fiction"
"4","1841721522",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:1841721522","Cooking"
"5","0971880107",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0971880107","Fiction"
"6","0345402871",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345402871","Fiction"
"7","0345417623",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345417623","Fiction"
"8","0446310786",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446310786",NA
"9","0449005615",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0449005615","History"
"10","0060168013",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060168013","Fiction"
"11","0061099686",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0061099686","Fiction"
"12","0553582909",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553582909","Fiction"
"13","0671888587",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671888587","Fiction"
"14","0553582747",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553582747","Fiction"
"15","0425182908",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0425182908","Fiction"
"16","042518630X",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:042518630X","Fiction"
"17","0440223571",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0440223571","Fiction"
"18","0842342702",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0842342702",NA
"19","0440225701",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0440225701","Fiction"
"20","0380715899",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380715899","Fiction"
"21","0671623249",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671623249","Fiction"
"22","042511774X",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:042511774X",NA
"23","0804106304",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0804106304","Fiction"
"24","1853260053",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:1853260053","Fiction"
"25","0140067477",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0140067477","Humor"
"26","0345465083",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345465083","History"
"27","1558531025",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:1558531025","Conduct of life"
"28","0441783589",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0441783589","Fiction"
"29","0394895894",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0394895894","Juvenile Fiction"
"30","0316769487",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0316769487","Fiction"
"31","0679429220",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0679429220","History"
"32","0671867156",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671867156","Fiction"
"33","0312261594",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0312261594",NA
"34","0446677450",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446677450","Business & Economics"
"35","0451166892",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451166892","Fiction"
"36","067976397X",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:067976397X","Fiction"
"37","0786868716",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0786868716","Fiction"
"38","0446608653",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446608653","Fiction"
"39","0446612545",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446612545","Fiction"
"40","0446612618",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446612618",NA
"41","0451208080",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451208080","Fiction"
"42","0553584383",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553584383","Fiction"
"43","0671027360",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671027360","Fiction"
"44","0316735736",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0316735736","Fiction"
"45","0743439740",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0743439740","True Crime"
"46","0380619458",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380619458","Americans"
"47","0671042858",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671042858","Fiction"
"48","0425184226",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0425184226","Fiction"
"49","0060929790",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060929790","Fiction"
"50","0060976845",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060976845","Fiction"
"51","0061099325",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0061099325","Fiction"
"52","0671004573",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671004573",NA
"53","0446601640",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446601640","Fiction"
"54","038572179X",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:038572179X","Fiction"
"55","0451410319",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451410319","Fiction"
"56","0553583468",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553583468","Fiction"
"57","0380778556",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380778556","Fiction"
"58","0385336772",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385336772","Fiction"
"59","044651747X",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:044651747X","Fiction"
"60","0446527165",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446527165","Fiction"
"61","0671461494",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671461494","Fiction"
"62","0385337639",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385337639","Fiction"
"63","0451206673",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451206673","Fiction"
"64","0330332775",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0330332775",NA
"65","0345354931",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345354931","Fiction"
"66","0553278223",1980,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553278223","Fiction"
"67","0060977493",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060977493","Fiction"
"68","0316602906",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0316602906",NA
"69","0316693006",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0316693006","Fiction"
"70","0345311396",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345311396","Fiction"
"71","0345378490",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345378490","Fiction"
"72","0345404793",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0345404793","Fiction"
"73","0375400117",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0375400117","Fiction"
"74","0375705856",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0375705856","Fiction"
"75","0380717018",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380717018","Fiction"
"76","0380718332",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380718332","Fiction"
"77","038076654X",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:038076654X",NA
"78","0380807866",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0380807866","Fiction"
"79","0385497466",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385497466","Fiction"
"80","0385508042",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385508042","Fiction"
"81","0385509456",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385509456",NA
"82","0385511612",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385511612","Fiction"
"83","0385730586",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0385730586","Juvenile Fiction"
"84","0446605484",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446605484","Fiction"
"85","0446610399",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0446610399",NA
"86","0449006522",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0449006522","Fiction"
"87","0449911004",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0449911004","Fiction"
"88","0451162072",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451162072","Fiction"
"89","0451186648",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0451186648","Fiction"
"90","0452282152",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0452282152","Fiction"
"91","051513290X",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:051513290X","Fiction"
"92","0553580388",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0553580388","Fiction"
"93","0671023616",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671023616",NA
"94","0671027387",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0671027387","Fiction"
"95","0684848783",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0684848783","Biography & Autobiography"
"96","0743486226",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0743486226",NA
"97","0786863986",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0786863986","Biography & Autobiography"
"98","0804117934",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0804117934","Fiction"
"99","140003180X",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:140003180X","Fiction"
"100","155874262X",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:155874262X","Self-Help"
"101","0060987103",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0060987103","Fiction"
"102","0151008116",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0151008116","Fiction"
"103","0525947647",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0525947647","Humor"
"104","0804111359",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0804111359","Fiction"
"105","1558744150",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:1558744150",NA
"106","0316782505",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0316782505",NA
"107","0064472264",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0064472264","Juvenile Fiction"
"108","0312890044",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0312890044","Fiction"
"109","0375751513",1990,"https://www.googleapis.com/books/v1/volumes?q=isbn:0375751513","Fiction"
"110","0440241413",2000,"https://www.googleapis.com/books/v1/volumes?q=isbn:0440241413","Fiction"
